,Unnamed: 0,image,dataset
0,36987,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_12_45171573_C19CF6AA_F30105AA_15290_3.npy,train
1,5482,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_12_09E5569E_09D73F1E_84C5E8DF_16161_1.npy,train
2,13915,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_15_9CB4C517_9CA6AD97_960BD966_19926_2.npy,train
3,436,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_16_57F9D61B_097C97FF_9E70A8D2_23244_3.npy,val
4,1689,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_5_BC2EE083_F1D905FF_9F979EF6_8002_2.npy,train
5,34487,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_17_C41C9A68_C40E82E8_4CEC956B_24236_2.npy,train
6,39996,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_0_7EEAAEC3_7EDC9743_F9A8D8AD_31744_2.npy,train
7,20795,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_13_AF330F02_F964A843_43964D9A_1698_4.npy,train
8,14522,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_13_6E6B8C5B_B89D259C_02CEBEDD_16615_1.npy,train
9,6269,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_17_DB8B628B_0512C46E_6DFC9352_24393_3.npy,train
10,22136,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_11_684DE0FA_BBE31798_7795C6D3_14823_4.npy,train
11,2039,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_11_811EE514_CB507E55_15821796_1468_4.npy,val
12,17875,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_4_A3716109_A3634989_C8290C21_3817_3.npy,train
13,1777,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow4/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_10_E8FFA5E4_E8F18E64_309787DF_12716_2.npy,train
14,12153,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_newset_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA-part2_DMIST-SHA_2019_3_22_16_350873F9_7F3A0D3A_C96BA9DF_7283_2.npy,train
15,3036,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_22_86FAB365_D12C4CA6_1B5E3BC2_29247_3.npy,train
16,4429,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow3/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_19_1_B4E0412A_544FDA03_109D73D8_32610_2.npy,train
17,2753,/sddata/data/dmist/dmist_preprocessed_npys/preprocessed_tensorflow2/_mnt_jk489_acr_dmist_DMIST-SHA_2019_2_18_23_269A3706_70CBD047_BAFD71C9_30167_2.npy,train
